41284488	914	1600	-5760	85.43	76.29	0	0
41285628	-5710	1593	-7686				
41286800	-491	3159	-7526				
41287916	5787	2199	-4705				
41289016	3191	338	-2457				
41290124	-4912	-79	-3110				
41291264	-12945	-473	-6163				
41292440	1936	-2639	-5086				
41293476	13651	-2787	418				
41294520	14066	-2796	3570				
41295512	780	618	-1802				
41296556	-5235	3401	-7314				
41297580	-1605	2220	-6111				
41298612	-4024	2400	-5775				
41299640	-5346	2177	-6451				
41300668	-3624	1928	-5955				
41301688	-2778	-533	-4810				
41307096	6169	53	-1177				
41308128	8997	765	2313				
41309140	4132	832	1465				
41310172	-5559	1223	-4467				
41311180	-7626	2861	-6750				
41312208	-8139	1596	-6173				
41313228	-8697	1106	-7385				
41314256	2865	-2337	-6610				
41315280	6234	-2179	-4296				
41316308	5083	-1504	-2108				
41317324	-1254	181	-3416				
41318352	-3552	1218	-5257				
41319364	276	3204	-3713				
41320404	7173	1598	-209				
41321428	7251	-1450	2380				
41322440	-7162	-264	-2013				
41323480	-14627	1378	-7715				
41324516	-9532	1685	-8808				
41325548	-3182	-2024	-8678				
41330988	1576	304	-1568				
41332024	-5473	3138	-5583				
41333032	-7280	3070	-6013				
41334040	1130	1174	-1296				
41335056	2865	-1518	3711				
41336060	-5613	-2271	251				
41337088	-3464	-549	-9669				
41338108	3431	-2864	-8460				
41339136	-1634	-1233	-8291				
41340148	199	1473	-6325				
41341192	4589	1906	-2298				
41342200	4879	1198	-646				
41343204	373	1973	-1272				
41344256	-8529	1680	-4161				
41345304	-13767	2570	-6245				
41346340	-5314	1626	-2140				
41347356	6879	-2562	2749				
41348368	1882	-4972	821				
41349388	-7146	-3221	-8803				
41354776	4482	3477	-4081				
41355792	4879	3948	-2358				
41356780	-519	574	-1239				
41357836	-10591	1169	-4701				
41358864	-12297	1475	-7342				
41359868	-2260	87	-3902				
41360908	4780	-6683	-648				
41361940	-6192	-2861	-5507				
41362960	-7662	2409	-7747				
41363976	248	1390	-5432				
41365008	2393	285	-4256				
41366052	-684	2635	-6754				
41367100	-2871	4631	-6917				
41368132	1536	4074	-2586				
41369136	-232	228	-1121				
41370180	-3235	-2483	-3190				
41371208	-3281	-469	-7100				
41372240	3047	-1859	-6478				
